CA_name,YYYYQ_DOC,Mort_Amt
Belmont Cragin        ,20072,220000.0
Belmont Cragin        ,20073,215250.0
Belmont Cragin        ,20074,222300.0
Belmont Cragin        ,20081,207882.0
Belmont Cragin        ,20082,215100.0
Belmont Cragin        ,20083,191236.5
Belmont Cragin        ,20084,200800.0
Belmont Cragin        ,20091,169379.5
Belmont Cragin        ,20092,162011.0
Belmont Cragin        ,20093,157041.0
Belmont Cragin        ,20094,158400.0
Belmont Cragin        ,20101,142180.5
Belmont Cragin        ,20102,162011.0
Belmont Cragin        ,20103,148449.0
Belmont Cragin        ,20104,140250.0
Belmont Cragin        ,20111,138225.5
Belmont Cragin        ,20112,135000.0
Belmont Cragin        ,20113,146197.0
Belmont Cragin        ,20114,138362.5
Belmont Cragin        ,20121,144427.0
Belmont Cragin        ,20122,158100.0
Belmont Cragin        ,20123,146955.0
Belmont Cragin        ,20124,157100.0
Beverly               ,20051,153642.0
Beverly               ,20052,170000.0
Beverly               ,20053,175000.0
Beverly               ,20054,174000.0
Beverly               ,20061,175000.0
Beverly               ,20062,150000.0
Beverly               ,20063,175000.0
Beverly               ,20064,172500.0
Beverly               ,20071,184000.0
Beverly               ,20072,182758.5
Beverly               ,20073,160000.0
Beverly               ,20074,182000.0
Beverly               ,20081,213000.0
Beverly               ,20082,209500.0
Beverly               ,20083,195350.0
Beverly               ,20084,222323.0
Beverly               ,20091,239900.0
Beverly               ,20092,240904.0
Beverly               ,20093,219237.0
Beverly               ,20094,215000.0
Beverly               ,20101,202334.0
Beverly               ,20102,200000.0
Beverly               ,20103,221500.0
Beverly               ,20104,208500.0
Beverly               ,20111,200000.0
Beverly               ,20112,205500.0
Beverly               ,20113,190271.0
Beverly               ,20114,214725.0
Beverly               ,20121,216855.0
Beverly               ,20122,206040.0
Beverly               ,20123,219000.0
Beverly               ,20124,217000.0
Bridgeport            ,20051,180000.0
Bridgeport            ,20052,171000.0
Bridgeport            ,20053,200000.0
Bridgeport            ,20054,179600.0
Bridgeport            ,20061,173000.0
Bridgeport            ,20062,150000.0
