CA_name,YYYYQ_DOC,YYYYQ_DOC
Belmont Cragin        ,20113,130
Belmont Cragin        ,20114,166
Belmont Cragin        ,20121,139
Belmont Cragin        ,20122,173
Belmont Cragin        ,20123,173
Belmont Cragin        ,20124,206
Beverly               ,20051,430
Beverly               ,20052,532
Beverly               ,20053,560
Beverly               ,20054,454
Beverly               ,20061,389
Beverly               ,20062,477
Beverly               ,20063,452
Beverly               ,20064,354
Beverly               ,20071,363
Beverly               ,20072,400
Beverly               ,20073,377
Beverly               ,20074,297
Beverly               ,20081,357
Beverly               ,20082,317
Beverly               ,20083,218
Beverly               ,20084,195
Beverly               ,20091,310
Beverly               ,20092,369
Beverly               ,20093,245
Beverly               ,20094,266
Beverly               ,20101,188
Beverly               ,20102,180
Beverly               ,20103,267
Beverly               ,20104,276
Beverly               ,20111,180
Beverly               ,20112,165
Beverly               ,20113,228
Beverly               ,20114,280
Beverly               ,20121,227
Beverly               ,20122,202
Beverly               ,20123,272
Beverly               ,20124,289
Bridgeport            ,20051,203
Bridgeport            ,20052,195
Bridgeport            ,20053,239
Bridgeport            ,20054,211
Bridgeport            ,20061,212
Bridgeport            ,20062,224
Bridgeport            ,20063,196
Bridgeport            ,20064,198
Bridgeport            ,20071,174
Bridgeport            ,20072,207
Bridgeport            ,20073,191
Bridgeport            ,20074,124
Bridgeport            ,20081,180
Bridgeport            ,20082,154
Bridgeport            ,20083,87
Bridgeport            ,20084,82
Bridgeport            ,20091,133
Bridgeport            ,20092,189
Bridgeport            ,20093,114
Bridgeport            ,20094,112
Bridgeport            ,20101,92
Bridgeport            ,20102,91
Bridgeport            ,20103,121
Bridgeport            ,20104,160
Bridgeport            ,20111,89
Bridgeport            ,20112,68
Bridgeport            ,20113,104
Bridgeport            ,20114,134
Bridgeport            ,20121,99
Bridgeport            ,20122,97
Bridgeport            ,20123,97
Bridgeport            ,20124,114
Brighton Park         ,20051,260
Brighton Park         ,20052,249
Brighton Park         ,20053,306
Brighton Park         ,20054,230
Brighton Park         ,20061,232
Brighton Park         ,20062,223
Brighton Park         ,20063,232
Brighton Park         ,20064,178
Brighton Park         ,20071,190
Brighton Park         ,20072,196
Brighton Park         ,20073,152
Brighton Park         ,20074,132
Brighton Park         ,20081,136
Brighton Park         ,20082,107
Brighton Park         ,20083,66
Brighton Park         ,20084,50
Brighton Park         ,20091,58
Brighton Park         ,20092,62
Brighton Park         ,20093,48
Brighton Park         ,20094,47
Brighton Park         ,20101,49
Brighton Park         ,20102,43
Brighton Park         ,20103,61
Brighton Park         ,20104,59
Brighton Park         ,20111,51
Brighton Park         ,20112,34
Brighton Park         ,20113,43
Brighton Park         ,20114,45
Brighton Park         ,20121,52
Brighton Park         ,20122,56
Brighton Park         ,20123,49
Brighton Park         ,20124,58
Burnside              ,20051,47
Burnside              ,20052,54
Burnside              ,20053,70
Burnside              ,20054,63
Burnside              ,20061,51
Burnside              ,20062,74
Burnside              ,20063,51
Burnside              ,20064,69
Burnside              ,20071,62
Burnside              ,20072,60
Burnside              ,20073,42
Burnside              ,20074,30
Burnside              ,20081,24
Burnside              ,20082,17
Burnside              ,20083,14
Burnside              ,20084,13
Burnside              ,20091,13
Burnside              ,20092,11
Burnside              ,20093,8
Burnside              ,20094,14
Burnside              ,20101,11
Burnside              ,20102,9
Burnside              ,20103,10
Burnside              ,20104,6
Burnside              ,20111,2
Burnside              ,20112,11
Burnside              ,20113,12
Burnside              ,20114,2
Burnside              ,20121,3
Burnside              ,20122,9
Burnside              ,20123,4
Burnside              ,20124,4
Calumet Heights       ,20051,220
Calumet Heights       ,20052,256
Calumet Heights       ,20053,331
Calumet Heights       ,20054,316
Calumet Heights       ,20061,308
Calumet Heights       ,20062,354
Calumet Heights       ,20063,314
Calumet Heights       ,20064,288
Calumet Heights       ,20071,234
Calumet Heights       ,20072,268
Calumet Heights       ,20073,211
Calumet Heights       ,20074,204
Calumet Heights       ,20081,196
Calumet Heights       ,20082,142
Calumet Heights       ,20083,137
Calumet Heights       ,20084,88
Calumet Heights       ,20091,73
Calumet Heights       ,20092,92
Calumet Heights       ,20093,89
Calumet Heights       ,20094,90
Calumet Heights       ,20101,62
Calumet Heights       ,20102,64
Calumet Heights       ,20103,74
Calumet Heights       ,20104,90
Calumet Heights       ,20111,62
Calumet Heights       ,20112,54
Calumet Heights       ,20113,48
Calumet Heights       ,20114,47
Calumet Heights       ,20121,62
Calumet Heights       ,20122,63
Calumet Heights       ,20123,66
Calumet Heights       ,20124,64
Chatham               ,20051,275
Chatham               ,20052,357
Chatham               ,20053,399
Chatham               ,20054,387
Chatham               ,20061,316
Chatham               ,20062,369
Chatham               ,20063,376
Chatham               ,20064,354
Chatham               ,20071,317
Chatham               ,20072,315
Chatham               ,20073,255
Chatham               ,20074,233
Chatham               ,20081,198
Chatham               ,20082,159
Chatham               ,20083,120
Chatham               ,20084,129
Chatham               ,20091,87
Chatham               ,20092,91
Chatham               ,20093,91
Chatham               ,20094,123
Chatham               ,20101,81
Chatham               ,20102,79
Chatham               ,20103,65
Chatham               ,20104,80
Chatham               ,20111,63
Chatham               ,20112,75
Chatham               ,20113,57
Chatham               ,20114,70
Chatham               ,20121,54
Chatham               ,20122,71
Chatham               ,20123,68
Chatham               ,20124,87
Chicago Lawn          ,20051,662
Chicago Lawn          ,20052,900
Chicago Lawn          ,20053,956
Chicago Lawn          ,20054,764
Chicago Lawn          ,20061,701
Chicago Lawn          ,20062,766
Chicago Lawn          ,20063,610
Chicago Lawn          ,20064,541
Chicago Lawn          ,20071,562
Chicago Lawn          ,20072,573
Chicago Lawn          ,20073,382
Chicago Lawn          ,20074,398
