CA_name,PTYPE2011,land_assmt_11_psf
Humboldt Park                           ,VACANT LAND,1.4
Hyde Park                               ,2-6 UNIT,3.6
Hyde Park                               ,7+ UNIT,1.2
Hyde Park                               ,COMM/IND,3.5999593467201785
Hyde Park                               ,CONDO,0.07770373604133846
Hyde Park                               ,NON PROFIT,2.0
Hyde Park                               ,SINGLE FAMILY,3.6
Hyde Park                               ,TOWN HOUSE,3.5998532916426544
Hyde Park                               ,VACANT LAND,3.5997972430539367
Irving Park                             ,2-6 UNIT,2.3997348359297317
Irving Park                             ,7+ UNIT,1.5749333333333333
Irving Park                             ,COMM/IND,3.93728
Irving Park                             ,CONDO,0.10867992614614538
Irving Park                             ,NON PROFIT,3.937382170751414
Irving Park                             ,SINGLE FAMILY,1.6
Irving Park                             ,TOWN HOUSE,1.5998515219005196
Irving Park                             ,VACANT LAND,1.6
Jefferson Park                          ,2-6 UNIT,1.5
Jefferson Park                          ,7+ UNIT,1.574944071588367
Jefferson Park                          ,COMM/IND,3.93728
Jefferson Park                          ,CONDO,0.1396086124401914
Jefferson Park                          ,NON PROFIT,0.4723076923076923
Jefferson Park                          ,SINGLE FAMILY,1.5
Jefferson Park                          ,TOWN HOUSE,1.5995329830706364
Jefferson Park                          ,VACANT LAND,1.5
Kenwood                                 ,2-6 UNIT,1.6
Kenwood                                 ,7+ UNIT,0.75
Kenwood                                 ,COMM/IND,1.8749668170958322
Kenwood                                 ,CONDO,0.045532386420872366
Kenwood                                 ,SINGLE FAMILY,3.5996925441967718
Kenwood                                 ,TOWN HOUSE,1.6
Kenwood                                 ,VACANT LAND,2.0
Lakeview                                ,2-6 UNIT,4.6
Lakeview                                ,7+ UNIT,3.75
Lakeview                                ,COMM/IND,9.374867256637168
Lakeview                                ,CONDO,0.041925019504783806
Lakeview                                ,NON PROFIT,0.15907335907335907
Lakeview                                ,SINGLE FAMILY,4.599680170575693
Lakeview                                ,TOWN HOUSE,7.0
Lakeview                                ,VACANT LAND,4.5
Lincoln Park                            ,2-6 UNIT,7.499826086956522
Lincoln Park                            ,7+ UNIT,5.0
Lincoln Park                            ,COMM/IND,7.25
Lincoln Park                            ,CONDO,0.0738960113960114
Lincoln Park                            ,NON PROFIT,9.37472
Lincoln Park                            ,SINGLE FAMILY,7.499842519685039
Lincoln Park                            ,TOWN HOUSE,7.5
Lincoln Park                            ,VACANT LAND,7.499836651271009
Lincoln Square                          ,2-6 UNIT,2.6
