CA_name,PTYPE2011,bldg_assmt_11_psf
Jefferson Park                          ,COMM/IND,inf
Jefferson Park                          ,CONDO,inf
Jefferson Park                          ,NON PROFIT,inf
Jefferson Park                          ,SINGLE FAMILY,18.879819471308835
Jefferson Park                          ,TOWN HOUSE,18.451515151515153
Jefferson Park                          ,VACANT LAND,6.96591248702894
Kenwood                                 ,2-6 UNIT,5.917306793371376
Kenwood                                 ,7+ UNIT,inf
Kenwood                                 ,COMM/IND,inf
Kenwood                                 ,CONDO,inf
Kenwood                                 ,SINGLE FAMILY,12.240019317450097
Kenwood                                 ,TOWN HOUSE,14.27655348827274
Kenwood                                 ,VACANT LAND,1.953125
Lakeview                                ,2-6 UNIT,16.27217741935484
Lakeview                                ,7+ UNIT,inf
Lakeview                                ,COMM/IND,inf
Lakeview                                ,CONDO,inf
Lakeview                                ,NON PROFIT,inf
Lakeview                                ,SINGLE FAMILY,29.30879835672715
Lakeview                                ,TOWN HOUSE,21.302658433199014
Lakeview                                ,VACANT LAND,22.962331482950038
Lincoln Park                            ,2-6 UNIT,20.405326082933982
Lincoln Park                            ,7+ UNIT,inf
Lincoln Park                            ,COMM/IND,inf
Lincoln Park                            ,CONDO,inf
Lincoln Park                            ,NON PROFIT,inf
Lincoln Park                            ,SINGLE FAMILY,34.314515105482656
Lincoln Park                            ,TOWN HOUSE,24.26640625
Lincoln Park                            ,VACANT LAND,17.664473553685212
Lincoln Square                          ,2-6 UNIT,13.427145225575241
Lincoln Square                          ,7+ UNIT,inf
Lincoln Square                          ,COMM/IND,inf
Lincoln Square                          ,CONDO,inf
Lincoln Square                          ,NON PROFIT,inf
Lincoln Square                          ,SINGLE FAMILY,21.813404825737265
Lincoln Square                          ,TOWN HOUSE,19.482662538699692
Lincoln Square                          ,VACANT LAND,inf
Logan Square                            ,2-6 UNIT,11.794410413476264
Logan Square                            ,7+ UNIT,inf
Logan Square                            ,COMM/IND,inf
Logan Square                            ,CONDO,inf
Logan Square                            ,NON PROFIT,inf
Logan Square                            ,SINGLE FAMILY,19.099818511796734
Logan Square                            ,TOWN HOUSE,20.63755158184319
Logan Square                            ,VACANT LAND,inf
Loop                                    ,2-6 UNIT,7.886979823455233
Loop                                    ,7+ UNIT,inf
Loop                                    ,COMM/IND,inf
Loop                                    ,CONDO,inf
Loop                                    ,NON PROFIT,inf
Loop                                    ,SINGLE FAMILY,inf
Loop                                    ,TOWN HOUSE,21.31111111111111
Loop                                    ,VACANT LAND,inf
Lower West Side                         ,2-6 UNIT,8.022486772486772
Lower West Side                         ,7+ UNIT,inf
Lower West Side                         ,COMM/IND,inf
Lower West Side                         ,CONDO,inf
Lower West Side                         ,NON PROFIT,inf
Lower West Side                         ,SINGLE FAMILY,13.5
Lower West Side                         ,TOWN HOUSE,15.620440251572326
Lower West Side                         ,VACANT LAND,inf
McKinley Park                           ,2-6 UNIT,8.770810810810811
McKinley Park                           ,7+ UNIT,inf
McKinley Park                           ,COMM/IND,inf
McKinley Park                           ,CONDO,inf
McKinley Park                           ,SINGLE FAMILY,14.12263300270514
McKinley Park                           ,TOWN HOUSE,15.122044728434505
McKinley Park                           ,VACANT LAND,1.0805162876459742
Montclare                               ,2-6 UNIT,11.3618088335944
Montclare                               ,7+ UNIT,inf
Montclare                               ,COMM/IND,inf
Montclare                               ,CONDO,inf
Montclare                               ,NON PROFIT,inf
Montclare                               ,SINGLE FAMILY,18.15705931495405
Montclare                               ,TOWN HOUSE,20.941634241245136
Montclare                               ,VACANT LAND,inf
Morgan Park                             ,2-6 UNIT,6.812462908011869
Morgan Park                             ,7+ UNIT,inf
Morgan Park                             ,COMM/IND,inf
Morgan Park                             ,CONDO,inf
Morgan Park                             ,NON PROFIT,inf
Morgan Park                             ,SINGLE FAMILY,9.526821862348179
Morgan Park                             ,TOWN HOUSE,8.016379310344828
Morgan Park                             ,VACANT LAND,
Mount Greenwood                         ,2-6 UNIT,8.62467053241961
Mount Greenwood                         ,7+ UNIT,inf
Mount Greenwood                         ,COMM/IND,inf
Mount Greenwood                         ,CONDO,inf
Mount Greenwood                         ,NON PROFIT,inf
Mount Greenwood                         ,SINGLE FAMILY,15.80995024875622
Mount Greenwood                         ,TOWN HOUSE,16.369226026931027
Mount Greenwood                         ,VACANT LAND,
Near North Side                         ,2-6 UNIT,20.785787321063395
Near North Side                         ,7+ UNIT,inf
Near North Side                         ,COMM/IND,inf
Near North Side                         ,CONDO,inf
Near North Side                         ,NON PROFIT,inf
Near North Side                         ,SINGLE FAMILY,41.159147869674186
Near North Side                         ,TOWN HOUSE,24.27858231707317
Near North Side                         ,VACANT LAND,inf
